,Class,SubClass,Name,Type,Item,Content,Rank,Average,123123
0,薯类、淀粉及制品,薯类,马铃薯[土豆，洋芋],类型,项目,含量,同类排名,同类均值,含量水平
1,薯类、淀粉及制品,薯类,马铃薯[土豆，洋芋],能量与相关成分,食部(Edible),94%,5,96%,
2,薯类、淀粉及制品,薯类,马铃薯[土豆，洋芋],能量与相关成分,水分(Water),79.8g,1,47.6g,
3,薯类、淀粉及制品,薯类,马铃薯[土豆，洋芋],能量与相关成分,能量(Energy),334kJ,7,875kJ,
4,薯类、淀粉及制品,薯类,马铃薯[土豆，洋芋],能量与相关成分,蛋白质(Protein),2.0g,5,3.0g,
5,薯类、淀粉及制品,薯类,马铃薯[土豆，洋芋],能量与相关成分,脂肪(Fat),0.2g,4,0.3g,
6,薯类、淀粉及制品,薯类,马铃薯[土豆，洋芋],能量与相关成分,胆固醇(Cholesterol),,,,
7,薯类、淀粉及制品,薯类,马铃薯[土豆，洋芋],能量与相关成分,灰分(Ash),0.8g,4,1.3g,
8,薯类、淀粉及制品,薯类,马铃薯[土豆，洋芋],能量与相关成分,碳水化合物(CHO),17.2g,7,47.7g,
9,薯类、淀粉及制品,薯类,马铃薯[土豆，洋芋],能量与相关成分,总膳食纤维(Dietary fiber),,,,
10,薯类、淀粉及制品,薯类,马铃薯[土豆，洋芋],维生素,胡萝卜素(Carotene),30.0μg,5,184.3μg,
11,薯类、淀粉及制品,薯类,马铃薯[土豆，洋芋],维生素,维生素A(Vitamin),,,,
12,薯类、淀粉及制品,薯类,马铃薯[土豆，洋芋],维生素,α-TE,—,,,
13,薯类、淀粉及制品,薯类,马铃薯[土豆，洋芋],维生素,硫胺素(Thiamin),0.08mg,3,0.09mg,
14,薯类、淀粉及制品,薯类,马铃薯[土豆，洋芋],维生素,核黄素(Riboflavin),0.04mg,5,0.06mg,
15,薯类、淀粉及制品,薯类,马铃薯[土豆，洋芋],维生素,烟酸(Niacin),1.10mg,3,1.41mg,
16,薯类、淀粉及制品,薯类,马铃薯[土豆，洋芋],维生素,维生素C(Vitamin C),27.0mg,2,17.3mg,
17,薯类、淀粉及制品,薯类,马铃薯[土豆，洋芋],矿物质,钙(Ca),8mg,7,66mg,
18,薯类、淀粉及制品,薯类,马铃薯[土豆，洋芋],矿物质,磷(P),40mg,5,61mg,
19,薯类、淀粉及制品,薯类,马铃薯[土豆，洋芋],矿物质,钾(K),342mg,4,415mg,
20,薯类、淀粉及制品,薯类,马铃薯[土豆，洋芋],矿物质,钠(Na),2.7mg,7,22.1mg,
21,薯类、淀粉及制品,薯类,马铃薯[土豆，洋芋],矿物质,镁(Mg),23mg,5,50mg,
22,薯类、淀粉及制品,薯类,马铃薯[土豆，洋芋],矿物质,铁(Fe),0.8mg,5,4.1mg,
23,薯类、淀粉及制品,薯类,马铃薯[土豆，洋芋],矿物质,锌(Zn),0.37mg,2,0.37mg,
24,薯类、淀粉及制品,薯类,马铃薯[土豆，洋芋],矿物质,硒(Se),0.80μg,4,1.24μg,
25,薯类、淀粉及制品,薯类,马铃薯[土豆，洋芋],矿物质,铜(Cu),0.12mg,5,0.30mg,
26,薯类、淀粉及制品,薯类,马铃薯[土豆，洋芋],矿物质,锰(Mn),0.14mg,5,0.33mg,
27,薯类、淀粉及制品,薯类,马铃薯[土豆，洋芋],矿物质,碘(I),,,,
28,薯类、淀粉及制品,薯类,马铃薯[土豆，洋芋],脂肪酸,饱和脂肪酸(SFA),—,,,
29,薯类、淀粉及制品,薯类,马铃薯[土豆，洋芋],脂肪酸,单不饱和脂肪酸(MUFA),—,,,
30,薯类、淀粉及制品,薯类,马铃薯[土豆，洋芋],脂肪酸,多不饱和脂肪酸(PUFA),—,,,
31,薯类、淀粉及制品,薯类,马铃薯[土豆，洋芋],脂肪酸,合计(Total),—,,,
0,薯类、淀粉及制品,薯类,甘薯(白心)[红皮山芋],类型,项目,含量,同类排名,同类均值,含量水平
1,薯类、淀粉及制品,薯类,甘薯(白心)[红皮山芋],能量与相关成分,食部(Edible),86%,7,96%,
2,薯类、淀粉及制品,薯类,甘薯(白心)[红皮山芋],能量与相关成分,水分(Water),72.6g,3,47.6g,
3,薯类、淀粉及制品,薯类,甘薯(白心)[红皮山芋],能量与相关成分,能量(Energy),460kJ,5,875kJ,
4,薯类、淀粉及制品,薯类,甘薯(白心)[红皮山芋],能量与相关成分,蛋白质(Protein),1.4g,6,3.0g,
5,薯类、淀粉及制品,薯类,甘薯(白心)[红皮山芋],能量与相关成分,脂肪(Fat),0.2g,4,0.3g,
6,薯类、淀粉及制品,薯类,甘薯(白心)[红皮山芋],能量与相关成分,胆固醇(Cholesterol),,,,
7,薯类、淀粉及制品,薯类,甘薯(白心)[红皮山芋],能量与相关成分,灰分(Ash),0.6g,6,1.3g,
8,薯类、淀粉及制品,薯类,甘薯(白心)[红皮山芋],能量与相关成分,碳水化合物(CHO),25.2g,5,47.7g,
9,薯类、淀粉及制品,薯类,甘薯(白心)[红皮山芋],能量与相关成分,总膳食纤维(Dietary fiber),,,,
10,薯类、淀粉及制品,薯类,甘薯(白心)[红皮山芋],维生素,胡萝卜素(Carotene),220.0μg,2,184.3μg,
11,薯类、淀粉及制品,薯类,甘薯(白心)[红皮山芋],维生素,维生素A(Vitamin),,,,
12,薯类、淀粉及制品,薯类,甘薯(白心)[红皮山芋],维生素,α-TE,—,,,
13,薯类、淀粉及制品,薯类,甘薯(白心)[红皮山芋],维生素,硫胺素(Thiamin),0.07mg,5,0.09mg,
14,薯类、淀粉及制品,薯类,甘薯(白心)[红皮山芋],维生素,核黄素(Riboflavin),0.04mg,5,0.06mg,
15,薯类、淀粉及制品,薯类,甘薯(白心)[红皮山芋],维生素,烟酸(Niacin),0.60mg,5,1.41mg,
16,薯类、淀粉及制品,薯类,甘薯(白心)[红皮山芋],维生素,维生素C(Vitamin C),24.0mg,4,17.3mg,
17,薯类、淀粉及制品,薯类,甘薯(白心)[红皮山芋],矿物质,钙(Ca),24mg,5,66mg,
18,薯类、淀粉及制品,薯类,甘薯(白心)[红皮山芋],矿物质,磷(P),46mg,4,61mg,
19,薯类、淀粉及制品,薯类,甘薯(白心)[红皮山芋],矿物质,钾(K),174mg,5,415mg,
20,薯类、淀粉及制品,薯类,甘薯(白心)[红皮山芋],矿物质,钠(Na),58.2mg,1,22.1mg,
21,薯类、淀粉及制品,薯类,甘薯(白心)[红皮山芋],矿物质,镁(Mg),17mg,6,50mg,
22,薯类、淀粉及制品,薯类,甘薯(白心)[红皮山芋],矿物质,铁(Fe),0.8mg,5,4.1mg,
23,薯类、淀粉及制品,薯类,甘薯(白心)[红皮山芋],矿物质,锌(Zn),0.22mg,5,0.37mg,
24,薯类、淀粉及制品,薯类,甘薯(白心)[红皮山芋],矿物质,硒(Se),0.60μg,5,1.24μg,
25,薯类、淀粉及制品,薯类,甘薯(白心)[红皮山芋],矿物质,铜(Cu),0.16mg,4,0.30mg,
26,薯类、淀粉及制品,薯类,甘薯(白心)[红皮山芋],矿物质,锰(Mn),0.21mg,4,0.33mg,
27,薯类、淀粉及制品,薯类,甘薯(白心)[红皮山芋],矿物质,碘(I),,,,
28,薯类、淀粉及制品,薯类,甘薯(白心)[红皮山芋],脂肪酸,饱和脂肪酸(SFA),—,,,
29,薯类、淀粉及制品,薯类,甘薯(白心)[红皮山芋],脂肪酸,单不饱和脂肪酸(MUFA),—,,,
30,薯类、淀粉及制品,薯类,甘薯(白心)[红皮山芋],脂肪酸,多不饱和脂肪酸(PUFA),—,,,
31,薯类、淀粉及制品,薯类,甘薯(白心)[红皮山芋],脂肪酸,合计(Total),—,,,
0,饮料类,碳酸饮料,可口可乐,类型,项目,含量,同类排名,同类均值,含量水平
1,饮料类,碳酸饮料,可口可乐,能量与相关成分,食部(Edible),100%,1,100%,
2,饮料类,碳酸饮料,可口可乐,能量与相关成分,水分(Water),89.1g,1,89.1g,
3,饮料类,碳酸饮料,可口可乐,能量与相关成分,能量(Energy),184kJ,1,184kJ,
4,饮料类,碳酸饮料,可口可乐,能量与相关成分,蛋白质(Protein),0.1g,1,0.1g,
5,饮料类,碳酸饮料,可口可乐,能量与相关成分,脂肪(Fat),0.0g,1,0.0g,
6,饮料类,碳酸饮料,可口可乐,能量与相关成分,胆固醇(Cholesterol),0mg,1,0mg,
7,饮料类,碳酸饮料,可口可乐,能量与相关成分,灰分(Ash),0.1g,1,0.1g,
8,饮料类,碳酸饮料,可口可乐,能量与相关成分,碳水化合物(CHO),10.7g,1,10.7g,
9,饮料类,碳酸饮料,可口可乐,能量与相关成分,总膳食纤维(Dietary fiber),0.00g,1,0.0g,
10,饮料类,碳酸饮料,可口可乐,维生素,胡萝卜素(Carotene),—,,,
11,饮料类,碳酸饮料,可口可乐,维生素,维生素A(Vitamin),0.0μg,1,0.0μg,
12,饮料类,碳酸饮料,可口可乐,维生素,α-TE,—,,,
13,饮料类,碳酸饮料,可口可乐,维生素,硫胺素(Thiamin),0.00mg,1,0.00mg,
14,饮料类,碳酸饮料,可口可乐,维生素,核黄素(Riboflavin),0.00mg,1,0.00mg,
15,饮料类,碳酸饮料,可口可乐,维生素,烟酸(Niacin),0.00mg,1,0.00mg,
16,饮料类,碳酸饮料,可口可乐,维生素,维生素C(Vitamin C),0.0mg,1,0.0mg,
17,饮料类,碳酸饮料,可口可乐,矿物质,钙(Ca),3mg,1,3mg,
18,饮料类,碳酸饮料,可口可乐,矿物质,磷(P),13mg,1,13mg,
19,饮料类,碳酸饮料,可口可乐,矿物质,钾(K),1mg,1,1mg,
20,饮料类,碳酸饮料,可口可乐,矿物质,钠(Na),4.0mg,1,4.0mg,
21,饮料类,碳酸饮料,可口可乐,矿物质,镁(Mg),1mg,1,1mg,
22,饮料类,碳酸饮料,可口可乐,矿物质,铁(Fe),0.0mg,1,0.0mg,
23,饮料类,碳酸饮料,可口可乐,矿物质,锌(Zn),0.01mg,1,0.01mg,
24,饮料类,碳酸饮料,可口可乐,矿物质,硒(Se),0.10μg,1,0.10μg,
25,饮料类,碳酸饮料,可口可乐,矿物质,铜(Cu),0.01mg,1,0.01mg,
26,饮料类,碳酸饮料,可口可乐,矿物质,锰(Mn),0.02mg,1,0.02mg,
27,饮料类,碳酸饮料,可口可乐,矿物质,碘(I),—,,,
28,饮料类,碳酸饮料,可口可乐,脂肪酸,饱和脂肪酸(SFA),—,,,
29,饮料类,碳酸饮料,可口可乐,脂肪酸,单不饱和脂肪酸(MUFA),—,,,
30,饮料类,碳酸饮料,可口可乐,脂肪酸,多不饱和脂肪酸(PUFA),—,,,
31,饮料类,碳酸饮料,可口可乐,脂肪酸,合计(Total),—,,,
0,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱力大1，美赞臣),类型,项目,含量,同类排名,同类均值,含量水平
1,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱力大1，美赞臣),能量与相关成分,食部(Edible),100%,1,100%,
2,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱力大1，美赞臣),能量与相关成分,水分(Water),—,,,
3,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱力大1，美赞臣),能量与相关成分,能量(Energy),2140kJ,15,2090kJ,
4,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱力大1，美赞臣),能量与相关成分,蛋白质(Protein),12.5g,32,15.5g,
5,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱力大1，美赞臣),能量与相关成分,脂肪(Fat),22.0g,18,21.7g,
6,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱力大1，美赞臣),能量与相关成分,胆固醇(Cholesterol),—,,,
7,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱力大1，美赞臣),能量与相关成分,灰分(Ash),—,,,
8,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱力大1，美赞臣),能量与相关成分,碳水化合物(CHO),65.5g,9,60.3g,
9,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱力大1，美赞臣),能量与相关成分,总膳食纤维(Dietary fiber),,,,
10,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱力大1，美赞臣),维生素,胡萝卜素(Carotene),—,,,
11,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱力大1，美赞臣),维生素,维生素A(Vitamin),—,,,
12,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱力大1，美赞臣),维生素,α-TE,—,,,
13,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱力大1，美赞臣),维生素,硫胺素(Thiamin),0.38mg,38,0.51mg,
14,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱力大1，美赞臣),维生素,核黄素(Riboflavin),0.69mg,35,0.83mg,
15,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱力大1，美赞臣),维生素,烟酸(Niacin),4.80mg,24,4.83mg,
16,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱力大1，美赞臣),维生素,维生素C(Vitamin C),57.0mg,28,63.8mg,
17,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱力大1，美赞臣),矿物质,钙(Ca),400mg,31,574mg,
18,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱力大1，美赞臣),矿物质,磷(P),290mg,32,403mg,
19,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱力大1，美赞臣),矿物质,钾(K),690mg,25,730mg,
20,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱力大1，美赞臣),矿物质,钠(Na),197.0mg,30,228.1mg,
21,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱力大1，美赞臣),矿物质,镁(Mg),51mg,23,56mg,
22,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱力大1，美赞臣),矿物质,铁(Fe),8.8mg,8,7.8mg,
23,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱力大1，美赞臣),矿物质,锌(Zn),5.00mg,9,5.16mg,
24,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱力大1，美赞臣),矿物质,硒(Se),8.00μg,15,4.53μg,
25,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱力大1，美赞臣),矿物质,铜(Cu),0.29mg,36,0.38mg,
26,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱力大1，美赞臣),矿物质,锰(Mn),0.08mg,14,0.16mg,
27,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱力大1，美赞臣),矿物质,碘(I),62.0μg,27,72.6μg,
28,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱力大1，美赞臣),脂肪酸,饱和脂肪酸(SFA),—,,,
29,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱力大1，美赞臣),脂肪酸,单不饱和脂肪酸(MUFA),—,,,
30,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱力大1，美赞臣),脂肪酸,多不饱和脂肪酸(PUFA),—,,,
31,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱力大1，美赞臣),脂肪酸,合计(Total),—,,,
0,鱼虾蟹贝类,鱼,黄颡鱼[戈牙鱼，黄鳍鱼],类型,项目,含量,同类排名,同类均值,含量水平
1,鱼虾蟹贝类,鱼,黄颡鱼[戈牙鱼，黄鳍鱼],能量与相关成分,食部(Edible),52%,83,74%,
2,鱼虾蟹贝类,鱼,黄颡鱼[戈牙鱼，黄鳍鱼],能量与相关成分,水分(Water),71.6g,56,67.0g,
3,鱼虾蟹贝类,鱼,黄颡鱼[戈牙鱼，黄鳍鱼],能量与相关成分,能量(Energy),523kJ,40,720kJ,
4,鱼虾蟹贝类,鱼,黄颡鱼[戈牙鱼，黄鳍鱼],能量与相关成分,蛋白质(Protein),17.8g,55,19.4g,
5,鱼虾蟹贝类,鱼,黄颡鱼[戈牙鱼，黄鳍鱼],能量与相关成分,脂肪(Fat),2.7g,62,9.1g,
6,鱼虾蟹贝类,鱼,黄颡鱼[戈牙鱼，黄鳍鱼],能量与相关成分,胆固醇(Cholesterol),90mg,25,82mg,
7,鱼虾蟹贝类,鱼,黄颡鱼[戈牙鱼，黄鳍鱼],能量与相关成分,灰分(Ash),0.8g,80,1.7g,
8,鱼虾蟹贝类,鱼,黄颡鱼[戈牙鱼，黄鳍鱼],能量与相关成分,碳水化合物(CHO),7.1g,11,3.0g,
