type,name,currency,assets,year
hedge funde,Bridgewater Associates,USD,89600,2024
hedge funde,Man Group,USD,77500,2024
hedge funde,Elliott Management,USD,69700,2024
hedge funde,Millennium Management,USD,67895,2024
hedge funde,Citadel,USD,63430,2024
hedge funde,TCI Fund Management,USD,63000,2024
hedge funde,D.E. Shaw Group,USD,53715,2024
hedge funde,Two Sigma Investments/Two Sigma Advisers,USD,44271,2024
hedge funde,Goldman Sachs Asset Management,USD,42000,2024
hedge funde,Farallon Capital Management,USD,40300,2024
